time,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead,InfectionStatus.Vaccinated
0,90,0,0,10,0,0,0,0,0,0,0
1.0,90,0,0,8,0,0,0,0,2,0,0
2.0,72,19,0,9,0,0,0,0,0,0,0
3.0,66,21,1,10,1,0,0,0,1,0,0
4.0,67,19,2,8,2,0,0,0,2,0,0
5.0,69,17,3,9,2,0,0,0,0,0,0
6.0,69,14,4,11,1,0,0,0,1,0,0
7.0,69,13,4,9,2,0,0,0,3,0,0
8.0,71,13,5,7,2,0,0,0,2,0,0
9.0,73,9,6,9,2,0,0,0,1,0,0
10.0,74,7,7,7,2,0,0,0,3,0,0
11.0,75,7,8,7,3,0,0,0,0,0,0
12.0,74,6,10,6,3,0,0,0,1,0,0
13.0,75,6,9,6,3,0,0,0,1,0,0
14.0,76,4,10,5,3,0,0,0,2,0,0
15.0,78,4,10,3,3,0,0,0,2,0,0
16.0,80,4,10,0,3,0,0,0,3,0,0
17.0,83,4,10,0,2,0,0,0,1,0,0
18.0,84,3,9,1,2,0,0,0,1,0,0
19.0,85,2,8,2,2,0,0,0,1,0,0
20.0,86,1,9,2,2,0,0,0,0,0,0
21.0,86,1,8,2,2,0,0,0,1,0,0
22.0,87,1,7,2,1,1,0,0,1,0,0
23.0,88,1,7,2,1,1,0,0,0,0,0
24.0,88,1,6,2,1,1,0,0,1,0,0
25.0,89,1,5,1,0,1,0,0,3,0,0
26.0,92,1,5,1,0,1,0,0,0,0,0
27.0,92,1,5,1,0,0,0,0,0,1,0
28.0,92,0,4,2,0,0,0,0,1,1,0
29.0,93,0,4,2,0,0,0,0,0,1,0
30.0,93,0,4,1,0,0,0,0,1,1,0
31.0,94,0,4,1,0,0,0,0,0,1,0
32.0,94,0,4,1,0,0,0,0,0,1,0
33.0,94,0,3,1,0,0,0,0,1,1,0
34.0,95,0,2,1,0,0,0,0,1,1,0
35.0,96,0,1,1,0,0,0,0,1,1,0
36.0,97,0,1,0,0,0,0,0,1,1,0
37.0,98,0,1,0,0,0,0,0,0,1,0
38.0,98,0,1,0,0,0,0,0,0,1,0
39.0,98,0,1,0,0,0,0,0,0,1,0
40.0,98,0,1,0,0,0,0,0,0,1,0
41.0,98,0,0,0,0,0,0,0,1,1,0
42.0,99,0,0,0,0,0,0,0,0,1,0
43.0,99,0,0,0,0,0,0,0,0,1,0
44.0,99,0,0,0,0,0,0,0,0,1,0
45.0,99,0,0,0,0,0,0,0,0,1,0
46.0,99,0,0,0,0,0,0,0,0,1,0
47.0,99,0,0,0,0,0,0,0,0,1,0
48.0,99,0,0,0,0,0,0,0,0,1,0
49.0,99,0,0,0,0,0,0,0,0,1,0
50.0,99,0,0,0,0,0,0,0,0,1,0
51.0,99,0,0,0,0,0,0,0,0,1,0
52.0,99,0,0,0,0,0,0,0,0,1,0
53.0,99,0,0,0,0,0,0,0,0,1,0
54.0,99,0,0,0,0,0,0,0,0,1,0
55.0,99,0,0,0,0,0,0,0,0,1,0
56.0,99,0,0,0,0,0,0,0,0,1,0
57.0,99,0,0,0,0,0,0,0,0,1,0
58.0,99,0,0,0,0,0,0,0,0,1,0
59.0,99,0,0,0,0,0,0,0,0,1,0
60.0,99,0,0,0,0,0,0,0,0,1,0
