"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,9,2.65366576584695,0.086461102755091,2.48688887663043,2.51306936017571,2.59484811442174,2.65272680662382,2.71145985798137,2.79746506067739,2.82577861136792
"2",3,10,2.4075326945082,0.071430391083609,2.26954969216491,2.29125729302636,2.35897631458185,2.40682629572135,2.45531902593926,2.52621769465217,2.54953005829684
"3",4,11,2.3841523404327,0.0625677725244497,2.2630842960828,2.28217942114067,2.34165799295728,2.38360503671058,2.42605006695956,2.48799216695895,2.50833063967743
"4",5,12,2.28089273548135,0.0544150435712331,2.1754760545332,2.19213203866777,2.24395829281423,2.28046002521942,2.31735547527996,2.37112944896439,2.38876845551618
"5",6,13,2.21950447642731,0.0478893438619817,2.12662557054096,2.14132531482823,2.18701861006242,2.21916005631029,2.25161488519652,2.29885848781712,2.31434068195283
"6",7,14,2.32793632452103,0.0439938613048313,2.24250009076336,2.25604860219509,2.29811379088521,2.32765919511036,2.35745675440803,2.40076936110376,2.41494745478501
"7",8,15,2.38584018198329,0.0399867723000897,2.30810422979705,2.32045099958094,2.35874913061509,2.38561679242677,2.41268771194474,2.45199136668816,2.46484563411321
"8",9,16,2.38367948343212,0.0356767894630711,2.31426138632228,2.32530152580183,2.3595198190919,2.38350149300219,2.40764511659753,2.44266458259362,2.45410908263189
"9",10,17,2.27447930024077,0.0310178699303563,2.21408702604393,2.22370105634873,2.25348191923488,2.27433830128027,2.2953229751259,2.32573850430525,2.33567285803387
"10",11,18,2.13066173977662,0.0267780131549074,2.0784972810032,2.0868079862874,2.11253961784206,2.13054955940516,2.14866157129807,2.17489815057601,2.1834637090892
"11",12,19,1.92256847407747,0.0228618141827318,1.87801818451971,1.8851193235243,1.90709941873362,1.92247785603622,1.93793874456363,1.96032673087165,1.96763373758002
"12",13,20,1.81523728851686,0.0201855079573866,1.77588744861112,1.78216318226475,1.80158189448511,1.81516246785875,1.82881111875561,1.8485666147001,1.85501232739589
"13",14,21,1.6723486551867,0.0178262837358495,1.63759010404685,1.64313545249354,1.66029073425998,1.67228531627088,1.68433752882657,1.70177791255379,1.70746715565166
"14",15,22,1.47869747765738,0.0155669615735796,1.4483423093473,1.45318561108548,1.46816815829955,1.47864285104518,1.48916724721771,1.5043956804582,1.50936308407076
"15",16,23,1.32193207617625,0.0138340700141995,1.29495517982746,1.29925965888594,1.31257502008442,1.32188381846454,1.33123652536216,1.34476910480872,1.34918321674654
"16",17,24,1.14962320082721,0.0123104060077709,1.12562034609942,1.12944960431033,1.14129618095031,1.14957926032388,1.15790232009792,1.16994668230897,1.17387576545465
"17",18,25,0.991159971542817,0.0110718217554237,0.969576978688379,0.973019029030147,0.983669840010298,0.991118745661355,0.998605161754881,1.00944153921109,1.01297724731676
"18",19,26,0.883398064876636,0.0102922685306213,0.863339404187539,0.86653723547927,0.876434420100788,0.883358094243697,0.89031813671977,0.900395237672783,0.903683874991044
"19",20,27,0.833154919421715,0.0100010598844418,0.813667155656971,0.816773172836449,0.826387672180284,0.833114902716388,0.839878543514433,0.849673166568712,0.8528700944129
"20",21,28,0.748245731624649,0.00959999721274399,0.729547012142239,0.732525473636668,0.741748447856421,0.748204676017936,0.754698259735078,0.764106033974838,0.767177766253246
"21",22,29,0.736822017952889,0.00973301495953013,0.71786772304029,0.72088605818852,0.7302340485156,0.73677916246527,0.743363269651851,0.752904161642405,0.756019856534928
"22",23,30,0.753385355656415,0.0101420635158288,0.733636907795868,0.736781126178464,0.746520057266433,0.753339845371026,0.76020104226074,0.770144824819053,0.773392434128178
"23",24,31,0.799836577515088,0.0108017006679967,0.778804136798515,0.782152679182595,0.792524679264763,0.799787952800367,0.807095468871743,0.817686339132383,0.821145347843691
"24",25,32,0.887137735385396,0.0117360225366849,0.864282957220128,0.867922364095187,0.87919395246448,0.887085983633302,0.895025102549147,0.906529636559989,0.910286613844985
"25",26,33,0.988408788801492,0.0126969756396059,0.96367801649302,0.967617259500037,0.979815432237905,0.988354421412998,0.996942878229449,1.0093857701489,1.01344852585667
"26",27,34,1.04148416667099,0.0132140805054203,1.01574420538673,1.0198446703077,1.03254120486217,1.04142828159743,1.05036620687511,1.06331429203633,1.06754171757941
"27",28,35,1.05015251462256,0.0133015978381781,1.0242418059084,1.02836953591517,1.04115037406557,1.05009635426479,1.05909343348042,1.0721270613506,1.07638237737736
"28",29,36,1.07102072702018,0.0133804436573935,1.04495422671214,1.04910729995385,1.06196563971361,1.07096500615132,1.08001507171836,1.09312422296677,1.09740388381214
"29",30,37,1.04688043198445,0.0131477807489833,1.02126800689268,1.02534853810805,1.03798264246555,1.04682539146676,1.05571822056384,1.06860007400383,1.07280564718151
"30",31,38,1.07164589143972,0.0132070673383294,1.04591502187627,1.05001512601549,1.06270853379013,1.07159163687079,1.08052410492255,1.09346172405963,1.09768508465813
"31",32,39,1.11926892679805,0.0134104302596745,1.09313748067354,1.09730245559898,1.11019477258767,1.1192153685913,1.12828469595078,1.14141808983113,1.14570473924826
"32",33,40,1.14484240293592,0.0134427111803025,1.11864499278304,1.12282121027818,1.13574698130105,1.14478978870509,1.15388046855574,1.16704306743608,1.17133881490831
"33",34,41,1.2057826419878,0.0136144541956058,1.17924469592657,1.18347658984253,1.19657211618642,1.20573140224905,1.2149373101267,1.22826347745073,1.23261177879504
"34",35,42,1.25577673940386,0.0136562024750381,1.22915200991317,1.23339903005678,1.24653898716062,1.25572723735645,1.26496052827168,1.2783233046404,1.2826827845325
"35",36,43,1.29432321228953,0.0135503371620942,1.26789965613996,1.27211583098936,1.28515805702265,1.29427592620136,1.30343681984105,1.31669189063775,1.32101549101148
"36",37,44,1.36156269329542,0.0135146443752161,1.33520176010345,1.33940960519726,1.35242299530787,1.36151797885392,1.37065364696948,1.38386830631759,1.38817773465937
