"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,9,2.12644247443807,0.0692832396797722,1.9928003761946,2.01377939055598,2.0793105583366,2.12569006514844,2.1727541892998,2.24167210593769,2.26436039530909
"2",3,10,1.97684737949261,0.0586521552757603,1.86354825910306,1.88137257109513,1.93697728649906,1.97626734891033,2.01608517853913,2.07430073165471,2.09344272922171
"3",4,11,1.99487804770069,0.0523519717200213,1.89357748067911,1.90955483462166,1.95932199723679,1.99442010541145,2.02993489095671,2.08176334731065,2.09878104037572
"4",5,12,1.91930427200187,0.0457886615897327,1.83059922992046,1.84461475156538,1.88822502285864,1.91894015902043,1.94998659703,1.99523581713121,2.01007852327959
"5",6,13,1.88064887680051,0.04057799463857,1.80194995463623,1.81440546345665,1.85312268402195,1.88035703990038,1.90785693374602,1.94788777357899,1.96100627427181
"6",7,14,1.98529556756175,0.0375185596480516,1.91243439245071,1.92398874615411,1.95986250772373,1.98505922785399,2.01047098923883,2.04740856574675,2.05949983570348
"7",8,15,2.01922300324435,0.0338422544240647,1.95343224994122,1.96388176862721,1.99629486475552,2.01903394056756,2.04194504074202,2.0752091480233,2.08608818035351
"8",9,16,2.00408408163883,0.0299953438974828,1.94572065469219,1.95500267769228,1.98377178753281,2.00393443577,2.02423324358239,2.0536759412429,2.06329793132521
"9",10,17,1.91042008001238,0.0260530669801621,1.85969435422054,1.86776953720514,1.89278359578628,1.91030164972139,1.92792746072919,1.95347459922471,1.96181883381198
"10",11,18,1.80477412970725,0.0226822796339339,1.76058829582903,1.7676278674403,1.78942381096246,1.80467910747613,1.82002086252389,1.8422445213285,1.84949996602087
"11",12,19,1.65034138326485,0.019624683620373,1.61209921530832,1.61819486481345,1.63706267692061,1.65026359633264,1.66353529224511,1.68275323989704,1.68902560716053
"12",13,20,1.58870921881617,0.0176665071730589,1.55426994533238,1.55976251425074,1.57675791607352,1.58864373521794,1.60058913631861,1.61787929376957,1.62352062961388
"13",14,21,1.48495813120051,0.0158288075279865,1.45409435588441,1.45901833524764,1.47425132812451,1.4849018895563,1.49560362389741,1.5110897724028,1.51614152268965
"14",15,22,1.33274561047736,0.0140304558702068,1.30538658814058,1.30975184149992,1.3232555664572,1.33269637567529,1.34218198244327,1.35590732374017,1.36038442974742
"15",16,23,1.21824450863663,0.012748975632426,1.19338358239901,1.19735043369949,1.20962138615832,1.21820003608518,1.22681915050433,1.23929028339805,1.24335816837161
"16",17,24,1.08344026322117,0.0116017052507479,1.06081923467405,1.06442804538784,1.07559262357646,1.08339885233935,1.09124275986132,1.10259373725537,1.10629662605799
"17",18,25,0.957608966065669,0.010697037903146,0.936756562755062,0.940082098857771,0.950372377302519,0.957569135690296,0.964802134782965,0.975271698233542,0.978687721762123
"18",19,26,0.876297772686527,0.010209544652483,0.856400333034126,0.859572461828367,0.86939009804983,0.876258123316657,0.883162224606983,0.893158331086451,0.896420536055813
