"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,6.57853824010671,0.058155700036581,6.46504288114127,6.48317379488987,6.53921996708754,6.57836687124734,6.61766969962357,6.67448723963332,6.69300747322424
"2",3,9,5.62495453045461,0.0424358724536002,5.54208538952656,5.55533621237511,5.59627409936314,5.624847815684,5.65351862903321,5.69493686199854,5.70843012219882
"3",4,10,4.96718216844479,0.0320743847168515,4.90451392629682,4.91454250908854,4.94551085898885,4.96711313107255,4.9887782184607,5.02005732032861,5.03024274408657
"4",5,11,4.48415804109921,0.0250578105866222,4.43517839408911,4.44302137006545,4.46723145988626,4.48411136621221,4.50103374078795,4.52545392425473,4.53340293754331
"5",6,12,3.83013813698973,0.0193688504234305,3.79226874398311,3.79833499479173,3.8170563108157,3.83010548788024,3.84318437150444,3.86205264815246,3.86819307213668
"6",7,13,3.21562389988383,0.0150999880002465,3.18609568398196,3.19082700668887,3.20542627069702,3.21560026431089,3.22579576330419,3.24050141608142,3.24528643476266
"7",8,14,2.63043560998224,0.0118725615557047,2.60721661373434,2.61093749657845,2.62241798243405,2.63041774759889,2.63843376527068,2.64999465353447,2.65375611665746
"8",9,15,2.11034058551915,0.00945685218414919,2.09184566689452,2.09480957765801,2.10395435938056,2.11032645952966,2.11671141254033,2.12591977836314,2.1289157809583
"9",10,16,1.66939188882528,0.00765856675810766,1.65441467944283,1.65681467372709,1.6642199002675,1.66938017726092,1.67455111029509,1.6820090530917,1.68443565404573
"10",11,17,1.29947936433935,0.00629932608037907,1.28716186020585,1.28913528443587,1.2952250035227,1.2994691855311,1.3037226289669,1.30985816504661,1.31185471378462
"11",12,18,0.954725442187522,0.00515038007664903,0.944657224468021,0.946269646022199,0.951246533931504,0.954716180757302,0.95819425431391,0.963212829900993,0.964846291832847
"12",13,19,0.681630498284003,0.00424628029137309,0.673333024766171,0.674661059732236,0.678761639858536,0.681621680772223,0.684489744509254,0.688630014140827,0.689978080970508
"13",14,20,0.466343422070616,0.0035069363353891,0.459494965869945,0.460590057087945,0.46397326225235,0.466334631294932,0.468703998838398,0.472126773161934,0.473241835489789
"14",15,21,0.297596278231177,0.0028595205216929,0.292017790521791,0.292908457954094,0.295662601244214,0.297587119500068,0.299519971058422,0.302315339751015,0.303226814194416
"15",16,22,0.173416181623259,0.00227471408429975,0.168986151672575,0.169691649660613,0.171876537229306,0.173406235855115,0.174944983909326,0.177174639495708,0.177902732432255
"16",17,23,0.0819693568069859,0.00166146516595417,0.0787449584405757,0.079255769065997,0.0808426808306556,0.0819581314768236,0.0830837958647734,0.0847212352063774,0.0852575474688732
"17",18,24,0.0213390979792467,0.000916592742530898,0.0195801853540887,0.0198541496309403,0.020713920821091,0.021325975738589,0.0219499708498135,0.0228688078594585,0.0231725814769928
"18",19,25,4.75075748301829e-05,4.75075748301829e-05,1.20278765734985e-06,2.43682002140316e-06,1.36670775843051e-05,3.29297415487819e-05,6.58594830975639e-05,0.00014231997515706,0.000175249716705842
"19",20,26,5.88887202867511e-05,5.88887202867511e-05,1.49093331266052e-06,3.02059646577445e-06,1.69412290961258e-05,4.08185504335448e-05,8.16371008670896e-05,0.000176414839911314,0.000217233390344859
"20",21,27,7.4481107634015e-05,7.4481107634015e-05,1.88569838153522e-06,3.82038138018237e-06,2.14268794026576e-05,5.16263697614993e-05,0.000103252739522999,0.000223125457909267,0.000274751827670767
