"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,6.78779471411513,0.0600055724989699,6.67068918556997,6.68939682486809,6.74722576763692,6.78761789419019,6.82817090474738,6.88679575173785,6.90590509473842
"2",3,9,5.79192396836637,0.0436955259730217,5.70659496508636,5.72023912132648,5.76239219608939,5.79181408590701,5.82133595495159,5.86398363413557,5.87787742416396
"3",4,10,5.08507582569674,0.0328356546663205,5.02092018324617,5.03118678958168,5.06289015823206,5.08500514975599,5.10718444747511,5.13920594364018,5.14963311348611
"4",5,11,4.55220217858936,0.0254380463171944,4.50247929777599,4.51044128573424,4.53501874768273,4.55215479544178,4.56933395587825,4.59412469950507,4.60219433382176
"5",6,12,3.87215636915517,0.0195813348886799,3.8338715329216,3.84000433306231,3.85893102982583,3.87212336187117,3.88534572636967,3.90442099597732,3.91062878300468
"6",7,13,3.23792162104703,0.0152046940642888,3.20818865112383,3.21295278168318,3.22765327964412,3.23789782158073,3.24816401801899,3.26297164246809,3.26778984133943
"7",8,14,2.62994108953248,0.0118703295206539,2.60672645844311,2.61044664176329,2.62192496929386,2.62992323050725,2.63793774117211,2.64949645599526,2.65325721196525
"8",9,15,2.0964943198994,0.00939480433833367,2.07812074924942,2.0810652133435,2.09014999476201,2.09648028659267,2.10282334695531,2.11197129528913,2.11494764065549
"9",10,16,1.65002174710308,0.00756970354720642,1.6352183199645,1.63759046684532,1.64490976970985,1.65001017142932,1.65512110554629,1.66249251299437,1.66489095782478
"10",11,17,1.28037263039168,0.00620670471926297,1.2682362351552,1.27018064338639,1.27618082304257,1.28036260124628,1.28455350470313,1.29059882768772,1.29256602041856
"11",12,18,0.939837866467013,0.00507006727676719,0.929926648181114,0.931513926330791,0.936413206802053,0.939828749455531,0.943252587437022,0.948192905526441,0.949800895959241
"12",13,19,0.671667393723497,0.00418421420917361,0.663491200864986,0.664799824505913,0.668840468187673,0.671658705093554,0.674484847556567,0.678564600618896,0.679892963326164
"13",14,20,0.460716147022594,0.00346461881915286,0.453950329806138,0.455032206772163,0.458374587460221,0.460707462323485,0.463048239171283,0.466429711545151,0.467531318633547
"14",15,21,0.295688733048563,0.00284119144638268,0.290146002565106,0.291030960959716,0.293767450625951,0.295679633023475,0.297600095308345,0.300377546128729,0.301283178164779
"15",16,22,0.173832283857148,0.00228017213096572,0.169391624302344,0.170098815092554,0.172288945174312,0.173822314224701,0.175364754417077,0.17759975993483,0.178329599888839
"16",17,23,0.0830844940747075,0.00168406826786626,0.0798162299647509,0.0803339898208036,0.08194249043913,0.0830731160315743,0.0842140943168005,0.085873809905341,0.0864174183308706
