Cell,Age group 0,Age group 1,Age group 2,Age group 3,Age group 4,Age group 5,Age group 6,Age group 7,Age group 8,Age group 9,Age group 10,Age group 11,Age group 12,Age group 13,Age group 14,Age group 15,Age group 16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,2,0,1,5,6,1,3,0,1,3,0,1,0
2,0,0,0,2,1,2,4,5,6,3,3,1,2,5,3,1,4
3,1,2,1,0,5,7,3,8,9,4,4,6,6,6,1,7,2
4,7,3,3,4,18,10,22,27,31,34,23,21,24,15,18,20,22
5,2,0,0,0,5,3,4,3,5,10,8,9,2,3,3,3,6
6,0,0,0,1,0,0,0,3,0,1,0,1,0,5,1,0,0
7,1,0,0,0,2,1,0,3,0,1,2,3,1,1,2,0,1
8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,0,0,0,0,3,2,1,2,6,5,5,1,3,4,3,0,1
10,3,2,0,4,6,1,0,2,6,2,1,3,2,3,4,2,2
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,2,0,0,0,0,0,2,2,1,0,2,0,0
13,2,5,9,8,22,14,22,19,37,34,29,27,25,15,13,14,22
14,1,0,0,0,1,2,1,0,1,1,0,1,2,2,0,3,6
15,1,3,0,5,15,18,16,24,29,21,22,27,17,9,15,11,19
16,0,0,0,1,1,3,1,3,3,0,3,1,0,1,1,0,2
17,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
18,0,0,0,1,3,2,0,1,1,1,1,2,6,1,3,1,0
19,4,0,1,0,3,3,4,1,3,3,3,6,6,6,1,0,5
20,3,3,4,4,7,10,12,17,17,18,13,4,12,8,6,7,7
21,0,0,0,1,1,4,4,0,3,4,6,2,3,0,2,0,4
22,1,0,1,2,4,3,4,3,5,7,7,4,7,2,1,3,5
23,1,0,1,3,2,4,6,9,9,15,17,7,8,4,3,3,7
24,0,0,0,1,1,2,0,0,0,0,0,2,2,4,0,0,1
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,4,2,1,1,2,2,2,6,2,1,2,0,1
29,5,9,6,5,23,38,26,45,46,48,35,27,26,21,18,14,32
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,1,0,0,2,0,0,2,2,3,2,3,2,3,0,0,1
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,3,1,1,7,7,8,8,10,11,13,9,3,7,4,5,3
34,2,0,2,2,5,2,5,4,10,7,2,10,4,6,6,4,9
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
37,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
38,0,0,1,1,2,1,1,0,2,4,4,5,0,0,1,0,1
39,0,0,0,1,2,1,1,0,2,4,1,1,3,0,0,2,3
40,3,1,5,2,17,13,8,25,24,15,17,14,14,9,8,9,23
41,0,0,1,0,2,0,0,4,2,3,1,2,0,1,1,2,3
42,0,0,0,0,2,3,0,0,0,0,0,2,0,3,2,1,0
43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,2,2,1,3,2,3,4,5,13,7,5,2,4,4,4,4,9
45,1,2,1,1,1,0,0,4,6,8,6,3,3,3,1,0,1
46,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,1
47,5,2,6,4,6,15,21,18,22,17,20,17,11,16,8,9,15
48,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,0,0
49,0,0,0,0,1,1,4,0,2,2,2,3,1,2,0,0,3
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,2,2,0,0,0,1,1,2,2,0,0,2,4
52,7,5,13,20,43,37,44,39,62,65,53,56,48,30,25,27,47
53,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0
54,1,4,5,2,8,4,10,16,13,18,13,7,5,5,6,10,10
55,3,4,4,5,15,21,27,43,34,42,25,38,28,10,11,14,25
56,0,1,0,1,0,3,2,2,7,2,3,3,4,3,5,2,5
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,1,2,0,0,0,1,2,1,0,0,0,0
59,1,0,2,0,3,7,4,5,2,3,2,2,2,3,1,3,4
60,5,1,7,7,13,32,32,25,37,25,29,23,17,12,24,9,15
61,8,7,9,18,29,32,44,49,65,65,48,56,37,28,24,29,45
62,6,8,14,6,46,25,34,42,59,57,59,33,29,28,25,19,27
63,6,7,11,15,40,46,57,59,95,96,53,62,52,43,38,26,57
64,11,13,14,20,46,46,52,79,80,69,69,63,48,24,30,33,48
65,4,0,3,7,18,26,19,9,32,30,24,17,21,14,21,17,29
66,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
67,0,0,0,1,1,0,0,0,0,0,2,3,2,0,3,0,1
68,0,2,0,1,4,2,2,7,5,6,2,4,1,4,2,3,5
69,0,1,1,0,1,2,2,1,4,1,1,5,3,5,1,2,1
70,3,0,2,3,7,1,3,5,11,9,4,6,6,4,7,3,6
71,6,3,2,3,17,14,11,19,23,20,15,19,19,9,2,9,13
72,11,13,16,19,52,71,73,69,95,70,77,67,55,45,42,22,42
73,1,0,0,0,5,4,3,3,3,1,1,2,1,2,4,0,1
74,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
75,11,9,6,21,47,41,48,58,85,65,45,43,38,25,34,17,52
76,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
77,0,0,0,0,0,0,0,0,1,1,0,2,1,3,0,0,1
78,0,2,4,2,5,9,4,6,9,12,9,7,3,3,2,3,12
79,15,15,15,16,29,54,70,74,114,102,80,74,55,32,37,40,38
80,8,8,12,15,34,46,56,61,80,50,60,54,37,32,29,21,40
81,1,1,0,0,3,2,3,6,4,7,5,5,0,1,2,1,1
82,0,0,1,2,2,6,3,7,6,7,4,3,3,5,5,2,1
83,1,1,0,3,2,1,3,8,18,7,7,7,5,7,3,5,5
84,1,0,1,3,5,1,5,6,5,12,11,7,10,7,4,2,7
85,0,0,0,0,2,0,0,0,2,1,0,1,0,0,0,0,0
86,0,0,0,1,0,0,1,0,1,1,3,2,2,1,1,0,0
87,0,0,0,0,1,3,2,2,1,2,0,3,1,1,0,1,1
88,0,0,0,0,1,2,1,0,0,1,1,0,0,0,0,0,0
89,0,0,0,2,1,1,5,5,4,6,2,2,1,0,1,2,2
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,1,0,1,0,0,1,2,0,2,4,5,4,4,1,0,2
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1,0,0,2,5,5,4,9,10,4,7,3,3,8,1,3,4
94,3,2,2,2,9,15,15,14,9,21,9,20,8,8,8,6,8
95,0,0,1,0,3,3,5,3,6,4,5,1,3,1,3,4,6
96,1,0,0,1,1,2,1,3,5,5,0,7,2,1,1,3,2
97,13,6,6,11,21,21,33,45,63,49,37,22,24,21,21,24,31
98,0,0,0,1,2,0,3,0,3,4,1,2,1,1,0,0,1
99,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0
100,0,0,1,1,2,3,1,2,3,4,2,6,3,2,1,0,2
101,4,3,3,10,9,10,12,28,32,28,29,30,23,19,5,10,18
102,12,10,17,21,57,66,72,88,93,124,85,66,65,47,51,45,51
103,8,9,7,15,36,44,45,49,59,72,59,53,51,42,19,23,41
104,0,0,1,1,1,2,4,4,4,6,1,2,2,2,0,0,0
105,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,1
106,1,0,0,0,1,0,0,0,1,1,0,0,1,2,0,2,0
107,0,0,0,0,0,0,1,1,2,1,0,1,1,0,1,0,2
108,3,5,1,5,9,13,21,16,21,21,20,16,12,12,6,12,6
109,0,0,0,1,0,1,0,3,1,1,0,0,2,0,3,0,1
110,2,3,7,2,8,13,13,15,17,13,19,19,13,11,12,4,15
111,4,5,5,7,12,20,21,31,26,24,25,25,23,20,11,14,17
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,1,0,2,2,3,4,1,1,2,3,4,2,0,0,3
114,0,1,0,1,5,2,0,1,1,2,2,3,2,2,1,3,2
115,1,2,2,3,10,6,3,7,6,5,5,13,5,7,4,7,4
116,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
117,7,7,8,10,28,27,35,43,56,45,42,51,25,20,16,18,27
118,5,7,15,10,23,28,26,43,51,55,30,39,29,21,18,22,20
119,1,1,1,2,6,5,9,4,5,6,9,9,3,1,2,1,5
120,17,21,30,19,82,89,106,113,165,131,124,113,90,70,58,51,90
121,22,13,24,21,81,93,111,109,156,150,95,108,72,61,72,62,86
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,3,0,5,5,14,13,15,25,21,26,15,26,9,16,9,8,13
124,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1
125,0,0,0,2,1,9,3,3,7,8,4,6,0,2,2,5,5
126,3,2,3,4,11,9,12,29,19,11,14,14,7,5,11,9,17
127,0,0,0,0,3,5,1,1,7,1,2,0,0,2,1,2,1
128,0,1,0,0,2,1,1,0,3,1,1,2,3,3,3,3,1
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
131,0,0,0,2,2,1,3,1,2,2,0,3,1,1,0,2,1
132,2,2,3,3,6,3,7,13,14,5,6,7,5,8,5,4,11
133,0,0,0,0,1,4,4,2,3,6,0,1,1,1,1,1,2
134,2,0,1,0,9,5,13,3,0,6,1,8,4,1,3,1,3
135,0,0,0,0,1,1,1,0,2,1,0,0,0,1,1,1,2
136,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
137,0,1,0,0,3,2,5,8,0,4,4,0,7,1,2,2,3
138,0,0,0,0,0,4,0,0,3,0,2,1,1,2,4,1,0
139,0,1,0,1,8,8,4,3,4,4,7,5,6,4,6,4,8
140,0,1,1,1,2,2,5,7,3,3,1,0,3,2,0,1,7
141,4,1,3,8,9,20,26,14,25,15,19,22,15,8,3,11,17
