"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,4.40940584895631,0.0372357072189086,4.33672348264828,4.34833784546115,4.38423394194197,4.40930103573957,4.43446349642933,4.47083137957522,4.48268385960588
"2",3,9,3.69733306972086,0.0273681374719779,3.64388463966046,3.65243195450925,3.67883691878687,3.69726554244263,3.71575560743043,3.74246452641266,3.75116525147616
"3",4,10,3.46181345662736,0.0218529494809189,3.41911327022987,3.42594714973706,3.44704890952115,3.46176747395775,3.47652787682397,3.49783661443243,3.50477495861757
"4",5,11,3.25866714121655,0.0178292988011724,3.22381484431428,3.22939611780156,3.24662380371429,3.25863462451386,3.2706750314033,3.28804908194763,3.29370422779228
"5",6,12,2.86883416545999,0.0142234285871436,2.84102360951365,2.84547886670541,2.85922783920721,2.86881065932307,2.8784148670495,2.89226964570071,2.89677830480501
"6",7,13,2.45710142208584,0.0113893925667783,2.43482866809376,2.43839760009759,2.44940983167938,2.45708382437271,2.4647738287571,2.47586527140966,2.47947418240516
"7",8,14,2.0567100098755,0.00922504841296697,2.0386684699091,2.04155971563307,2.05048031425773,2.05669621739198,2.0629246699396,2.07190735148282,2.07482993136989
"8",9,15,1.68783426536037,0.00758717057656119,1.67299601413466,1.67537390009565,1.68271061875086,1.68782289673064,1.69294551872382,1.70033341001319,1.70273712355603
"9",10,16,1.40008378096659,0.00643943023820333,1.38749080481569,1.38950872517809,1.39573508694051,1.40007390865029,1.40442171291798,1.41069251208769,1.41273286066298
"10",11,17,1.11598580816509,0.0054880860827702,1.10525494237422,1.10697407939795,1.11227926310675,1.11597681191996,1.11968254617793,1.12502822391009,1.12676779886051
"11",12,18,0.847073754402554,0.00467298142422428,0.837939320213885,0.839402067600935,0.843917210039962,0.847065161401887,0.850220931308516,0.85477475268088,0.856257021887521
"12",13,19,0.617115118233501,0.00399538165057836,0.609308843065858,0.61055803897118,0.614415595048758,0.617106495836366,0.619805241918296,0.623701609248204,0.624970393747969
"13",14,20,0.42268364931406,0.00339463878174924,0.416056139206914,0.417115507649918,0.420389073792422,0.422674561723036,0.424968318221043,0.428282789551347,0.429362803410448
"14",15,21,0.280748009520746,0.00290778395988701,0.275077436237308,0.275982313421273,0.278781305502256,0.280737970679841,0.282703769953882,0.28554794899807,0.286475632632905
"15",16,22,0.171708051706342,0.00244030549213165,0.166958073782734,0.167713919791697,0.170055850006976,0.171696491348411,0.173347651205701,0.175741617047918,0.176523726024243
"16",17,23,0.0759081337084797,0.00177106188112508,0.072476218503962,0.0730186766610659,0.0747061815217157,0.0758943602219032,0.0770950712364726,0.0788445734483711,0.079418321964152
"17",18,24,0.0227545484172356,0.00107385353344715,0.0206982376478837,0.0210174936085118,0.0220213325987935,0.0227376578880467,0.023469352379696,0.0245492189548741,0.0249068439683918
"18",19,25,6.35507468221481e-05,6.35507468221481e-05,1.60896560530136e-06,3.25972716529713e-06,1.8282410551654e-05,4.40500209822508e-05,8.81000419645017e-05,0.000190381023263568,0.000234431044245818
"19",20,26,8.06784743352709e-05,8.06784743352709e-05,2.04260212168585e-06,4.13826473481749e-06,2.32097506990185e-05,5.59220570173709e-05,0.000111844114034742,0.000241691109347268,0.000297613166364639
"20",21,27,0.000102661761812037,0.000102661761812037,2.59917077288605e-06,5.2658599709694e-06,2.95339483996379e-05,7.115971075133e-05,0.00014231942150266,0.000307547153120231,0.000378706863871561
"21",22,28,0.000130087422577305,0.000130087422577305,3.29352838598338e-06,6.67261246237538e-06,3.74238193269496e-05,9.0169730185769e-05,0.000180339460371538,0.000389707090198288,0.000479876820384057
"22",23,29,0.000163830268337361,0.000163830268337361,4.14782327578e-06,8.40339418341967e-06,4.71310311256235e-05,0.000113558488588421,0.000227116977176842,0.000490791622243243,0.000604350110831665
"23",24,30,0.000205535881584129,0.000205535881584129,5.20371798382871e-06,1.05426124812994e-05,5.9128988377326e-05,0.000142466616823942,0.000284933233647883,0.000615730473834945,0.000758197090658887
"24",25,31,0.000257896405911288,0.000257896405911288,6.52937168470048e-06,1.32283562698989e-05,7.41921725304252e-05,0.000178760166633953,0.000357520333267906,0.000772588586422027,0.00095134875305598
"25",26,32,0.000324830209611108,0.000324830209611108,8.22398887443066e-06,1.66616115675523e-05,9.34478278958699e-05,0.000225155143952635,0.000450310287905271,0.000973104342357303,0.00119825948630994
"26",27,33,0.000412982519632169,0.000412982519632169,1.04558121329155e-05,2.11832339564052e-05,0.000118807667134141,0.00028625766910358,0.00057251533820716,0.00123718506247573,0.00152344273157931
"27",28,34,0.000534193509656698,0.000534193509656698,1.35246087039422e-05,2.74005449507399e-05,0.000153677895948329,0.000370274725091962,0.000740549450183925,0.00160030073720165,0.00197057546229361
"28",29,35,0.000710698950157626,0.000710698950157626,1.79933395547272e-05,3.64540904713582e-05,0.000204455346870651,0.000492618973528672,0.000985237947057343,0.00212906378176814,0.00262168275529681
"29",30,36,0.000987000888095562,0.000987000888095562,2.4988698965127e-05,5.06265271138595e-05,0.000283942460999079,0.0006841368827936,0.0013682737655872,0.00295679041449432,0.00364092729728792
"30",31,37,0.00144615623399315,0.00144615623399315,3.66135058475224e-05,7.41781174406022e-05,0.000416033222484213,0.00100239911624154,0.00200479823248309,0.00433229690277458,0.00533469601901613
"31",32,38,0.0022573317185167,0.0022573317185167,5.7150691006253e-05,0.000115785980368233,0.000649393866994026,0.00156466311627839,0.00312932623255678,0.00676236148127758,0.00832702459755597
"32",33,39,0.00380727279488101,0.00380727279488101,9.6391801564608e-05,0.000195287564281544,0.00109528412802065,0.00263900040339435,0.00527800080678871,0.0114055699858491,0.0140445703892435
"33",34,40,0.00705244844360703,0.00705244844360703,0.000178552535514347,0.000361743314170958,0.00202886298411621,0.00488838475473059,0.00977676950946117,0.0211272474100892,0.0260156321648198
"34",35,41,0.755602618984169,0.105805529880294,0.562595780158923,0.590388472048807,0.681805060499051,0.750669819286536,0.824025301178793,0.937644684991995,0.976635151603515
"35",36,42,1.61604957286358,0.226292203168284,1.20325505414868,1.26269683839998,1.45821460793375,1.6054995183189,1.76238898931962,2.0053931188278,2.08878421003128
"36",37,43,2.30565182225722,0.322855832740967,1.71670922403833,1.80151606442156,2.08046536720218,2.29059983815085,2.51443733718549,2.86113642576837,2.98011224471719
"37",38,44,2.12048653489515,0.296927506326324,1.57884150536649,1.65683756763559,1.91338464675425,2.10664336511865,2.31250463095491,2.63136055790085,2.74078151193375
"38",39,45,8.32134360438468,0.534916226476701,7.30586569741369,7.46146270018262,7.95457387169365,8.3098845095402,8.67562268642739,9.2203133151595,9.4019391968252
"39",40,46,11.8641376518544,0.478797629216054,10.9441450024463,11.0877228928995,11.5377789643026,11.857697373938,12.1834758875799,12.6625209441793,12.8207291163289
"40",41,47,8.4717413933234,0.261443615400464,7.96700554684945,8.04634049086067,8.29396508819744,8.46905210344908,8.64658609645109,8.9063157426104,8.99176006862181
"41",42,48,6.23763453317432,0.153653098300633,5.94008081680577,5.98706771174043,6.13332087792358,6.23637292108111,6.34057289052542,6.49250483665517,6.5423578321609
"42",43,49,4.14156994712343,0.0923776631562357,3.96247247906829,3.99080261304847,4.0788934468998,4.14088313985605,4.20349774888851,4.29468004652574,4.3245704597653
"43",44,50,3.59515879083042,0.0685694564965785,3.46200807459135,3.48312045781857,3.54867484872201,3.5947228648839,3.64116752230807,3.70868410793872,3.73078682692888
"44",45,51,2.95528728665657,0.0517120334047998,2.85479331235043,2.87074608767963,2.92024559308771,2.95498567064727,2.99000018280005,3.04085732568903,3.05749531326838
"45",46,52,2.34834757291086,0.0395308858849443,2.27150064970326,2.2837055578555,2.32156486918347,2.34812576237575,2.37488847656828,2.41374620409135,2.42645502260608
"46",47,53,1.80595321389733,0.0307733604400267,1.74613672672705,1.75563540462726,1.78510272285284,1.80577842468551,1.82661316378177,1.85686724525798,1.86676301011692
"47",48,54,1.6468133091996,0.0270260075406371,1.59426463851812,1.60261305832799,1.62850485515524,1.64666546944526,1.66496060013792,1.69151785502665,1.7002021381687
"48",49,55,1.57142227259863,0.0248370555865043,1.523115413836,1.53079334273637,1.55459937192495,1.57129142082016,1.58810252903662,1.61249754982803,1.62047274889322
"49",50,56,1.53135302139737,0.0232853228532449,1.48605090594292,1.49325442147465,1.51558364102179,1.53123499966036,1.54699374377488,1.56985420420519,1.5773258427028
"50",51,57,1.28382306559704,0.0203346418149385,1.24427383363464,1.25055966363218,1.27004966634596,1.28371570617428,1.29747943011922,1.31745268036021,1.32398241038214
"51",52,58,1.08190357562297,0.0180167185788311,1.04687648263772,1.05244025917482,1.06969758597756,1.08180356769226,1.09400054462117,1.11170802830523,1.1174990034495
"52",53,59,1.04694887260426,0.0174177275420272,1.01308603651623,1.01846494371817,1.03514873810054,1.04685228327875,1.05864371314939,1.07576227654733,1.08136061595363
"53",54,60,0.952475809398694,0.0165056198227344,0.920397148447826,0.925490062176064,0.941291579172986,0.952380468171698,0.963556106300716,0.979786774339408,0.985096284633554
