"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,4.27771834805965,1.03749909327604,2.49192857659966,2.72569679710583,3.53994777326999,4.1941402073945,4.9245067174737,6.11491878371206,6.53811444474566
"2",3,9,1.06804641200868,0.403683599264256,0.429410051323656,0.501267091006274,0.775501924055375,1.01764027812471,1.30583425084276,1.80688974087924,1.99258919606738
"3",4,10,0.435019745682362,0.217509872841181,0.118528239415734,0.148593870368811,0.275728588451032,0.399354733273825,0.55567546129021,0.843248422722419,0.953484225281781
"4",5,11,0.261063434715106,0.150725044308335,0.053837556455204,0.0711564459112625,0.150311572936024,0.232699790045342,0.341157875774718,0.54786716906112,0.628700592426629
"5",6,12,0.151846428047328,0.107371638971221,0.0183893068934107,0.0269801880325471,0.0729833732683663,0.127425497729007,0.2044334676244,0.360169441129034,0.423017073633788
"6",7,13,0.143416667259509,0.101410897954373,0.0173684237540528,0.0254823817683532,0.0689316982566321,0.120351465906609,0.193084335140619,0.340174619579106,0.399533263143463
"7",8,14,0.147477669053408,0.10428245986125,0.0178602299113858,0.0262039436345682,0.0708835756473554,0.123759350975231,0.198551731966687,0.349807040738706,0.410846490046248
"8",9,15,0.165593067433502,0.11709198089971,0.0200540886974753,0.0294227013021973,0.0795905495214291,0.138961313147322,0.222940805558103,0.392775538544623,0.461312759875584
"9",10,16,0.201915660288598,0.142775932617827,0.0244529232026148,0.0358765270369371,0.0970486180878637,0.169442270341298,0.271842539408321,0.478930268275243,0.562501027087016
"10",11,17,0.132017789205045,0.132017789205045,0.00334240103760379,0.00677162732608797,0.0379791511990097,0.0915077583712342,0.183015516742468,0.395489951804801,0.486997710176036
"11",12,18,0.181669615213956,0.181669615213956,0.00459947643456677,0.00931843305444248,0.0522630914062685,0.125923781578964,0.251847563157928,0.544233529420583,0.670157310999547
"12",13,19,0.25633896743949,0.25633896743949,0.00648994075652415,0.0131484701198745,0.0737441254031422,0.17768063254833,0.355361265096661,0.767922917727987,0.945603550276317
"13",14,20,0.359788231642986,0.359788231642986,0.00910904936374432,0.0184547236828399,0.103504624122816,0.249386198361984,0.498772396723968,1.07782921717781,1.3272154155398
"14",15,21,0.492537224346077,0.492537224346077,0.0124699628711091,0.0252638568452104,0.141694129459527,0.341400788376305,0.682801576752609,1.47550965890025,1.81691044727655
"15",16,22,0.66162096510024,0.66162096510024,0.0167507925527884,0.0339367189358619,0.190336490417585,0.458600706558581,0.917201413117163,1.98203927801073,2.44063998456931
"16",17,23,0.890517459137772,0.890517459137772,0.0225459500371078,0.0456775741888072,0.256185908199248,0.617259666040753,1.23451933208151,2.66775189250232,3.28501155854307
"17",18,24,1.21676972093977,1.21676972093977,0.0308059421558511,0.0624121274980214,0.350042835016528,0.843400501460113,1.68680100292023,3.64511632250255,4.48851682396266
"18",19,25,1.67873137112477,1.67873137112477,0.0425017985113407,0.0861076624167194,0.482940919934995,1.16360791681267,2.32721583362534,5.02902974710602,6.19263766391869
"19",20,26,2.28851903437703,2.28851903437703,0.0579402854807501,0.117385680541814,0.658365898654932,1.58628051633621,3.17256103267241,6.85579032992588,8.44207084626209
"20",21,27,2.99526458514243,2.99526458514243,0.0758335336287796,0.153636988134315,0.861683923395197,2.07615920222253,4.15231840444505,8.97301078554447,11.049169987767
"21",22,28,3.68102139540661,3.68102139540661,0.0931953928749672,0.188811714081463,1.05896386376992,2.55148960180692,5.10297920361385,11.0273545938623,13.5788441956692
"22",23,29,4.22733809356503,4.22733809356503,0.107026934137554,0.216834097308938,1.21612938371115,2.93016748082826,5.86033496165651,12.663973158117,15.5941406389452
"23",24,30,4.59010802729868,4.59010802729868,0.116211473662296,0.23544176231489,1.32049179007084,3.18162043758765,6.36324087517531,13.7507347564779,16.9323551940656
"24",25,31,4.79852872968338,4.79852872968338,0.121488228985222,0.246132346758769,1.38045068967473,3.32608665981593,6.65217331963186,14.3751073810885,17.7011940409045
"25",26,32,4.90639810583473,4.90639810583473,0.124219245138007,0.251665322425101,1.41148277536003,3.400856013764,6.80171202752799,14.6982551525533,18.0991111663173
"26",27,33,4.95831111129976,4.95831111129976,0.125533568642258,0.254328111496961,1.42641721635941,3.43683936713648,6.87367873427296,14.853772618442,18.2906119855785
"27",28,34,4.98203679444755,4.98203679444755,0.12613425093249,0.255545079947207,1.4332426700577,3.45328475751723,6.90656951503445,14.92484841316,18.3781331706772
"28",29,35,4.99246815557764,4.99246815557764,0.126398350130597,0.256080138824515,1.4362435856461,3.46051522607395,6.9210304521479,14.9560979783545,18.4166132044285
"29",30,36,4.99691503248131,4.99691503248131,0.126510935306174,0.256308233790641,1.43752287240968,3.46359756626203,6.92719513252406,14.9694196310114,18.4330171972734
"30",31,37,4.99876226661431,4.99876226661431,0.126557703225255,0.256402984514827,1.43805428855337,3.46487797139315,6.9297559427863,14.9749534499204,18.4398314213135
"31",32,38,4.99951253074638,4.99951253074638,0.126576698268488,0.256441468033822,1.43827012609377,3.46539801486097,6.93079602972194,14.9772010403945,18.4425990552555
"32",33,39,4.99981122019736,4.99981122019736,0.126584260430655,0.256456788799762,1.43835605369405,3.46560505061178,6.93121010122356,14.9780958340226,18.4437008846344
"33",34,40,4.99992800849013,4.99992800849013,0.126587217254226,0.256462779256043,1.43838965159215,3.46568600208764,6.93137200417527,14.9784457004804,18.444131702568
"34",35,41,4.99997293117805,4.99997293117805,0.126588354598213,0.2564650834887,1.43840257504411,3.46571714012211,6.93143428024422,14.9785802768264,18.4442974169485
"35",36,42,4.99998995387858,4.99998995387858,0.126588785575676,0.256465956639089,1.43840747216988,3.46572893935899,6.93145787871798,14.9786312722798,18.4443602116388
"36",37,43,4.99999631622769,4.99999631622769,0.126588946656409,0.256466282984935,1.43840930250365,3.46573334940334,6.93146669880668,14.9786503321744,18.4443836815777
"37",38,44,4.99999866423017,4.99999866423017,0.126589006102685,0.256466403421718,1.43840997798187,3.46573497691463,6.93146995382927,14.9786573661612,18.4443923430758
"38",39,45,4.99999952064753,4.99999952064753,0.126589027785295,0.256466447350185,1.43841022435779,3.46573557053791,6.93147114107582,14.9786599317583,18.4443955022962
"39",40,46,4.99999982964065,4.99999982964065,0.126589035608324,0.25646646319946,1.43841031324957,3.46573578471562,6.93147156943125,14.9786608574189,18.4443966421346
"40",41,47,4.99999994000136,4.99999994000136,0.126589038402415,0.256466468860225,1.43841034499837,3.46573586121184,6.93147172242367,14.9786611880301,18.4443970492419
"41",42,48,4.99999997904613,4.99999997904613,0.126589039390943,0.25646647086296,1.43841035623085,3.46573588827561,6.93147177655122,14.9786613049978,18.4443971932734
"42",43,49,4.99999999273502,4.99999999273502,0.126589039737516,0.256466471565108,1.4384103601689,3.46573589776402,6.93147179552805,14.978661346006,18.44439724377
"43",44,50,4.99999999749684,4.99999999749684,0.126589039858075,0.256466471809357,1.43841036153879,3.46573590106467,6.93147180212934,14.9786613602712,18.4443972613358
"44",45,51,4.99999999914385,4.99999999914385,0.126589039899773,0.256466471893838,1.4384103620126,3.46573590220629,6.93147180441257,14.9786613652051,18.4443972674114
"45",46,52,4.99999999970707,4.99999999970707,0.126589039914033,0.256466471922727,1.43841036217463,3.46573590259668,6.93147180519337,14.9786613668924,18.4443972694891
"46",47,53,4.99999999989846,4.99999999989846,0.126589039918879,0.256466471932544,1.43841036222969,3.46573590272934,6.93147180545868,14.9786613674658,18.4443972701951
"47",48,54,4.99999999996434,4.99999999996434,0.126589039920547,0.256466471935924,1.43841036224865,3.46573590277501,6.93147180555002,14.9786613676631,18.4443972704381
"48",49,55,4.99999999998746,4.99999999998746,0.126589039921132,0.25646647193711,1.4384103622553,3.46573590279104,6.93147180558207,14.9786613677324,18.4443972705234
"49",50,56,4.99999999999562,4.99999999999562,0.126589039921338,0.256466471937528,1.43841036225764,3.46573590279669,6.93147180559338,14.9786613677568,18.4443972705535
"50",51,57,4.99999999999801,4.99999999999801,0.126589039921399,0.256466471937651,1.43841036225833,3.46573590279835,6.9314718055967,14.978661367764,18.4443972705624
"51",52,58,4.99999999999905,4.99999999999905,0.126589039921425,0.256466471937704,1.43841036225863,3.46573590279906,6.93147180559813,14.9786613677671,18.4443972705662
"52",53,59,4.99999999999971,4.99999999999971,0.126589039921442,0.256466471937738,1.43841036225882,3.46573590279953,6.93147180559906,14.9786613677691,18.4443972705686
"53",54,60,4.99999999999973,4.99999999999973,0.126589039921443,0.256466471937739,1.43841036225883,3.46573590279954,6.93147180559908,14.9786613677691,18.4443972705687
