"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,2.40890688259109,0.584245736423555,1.4032770301063,1.53491867396623,1.99344694091678,2.3618416151048,2.77313211386844,3.4434875665087,3.68180127900661
"2",3,9,0.706051873198847,0.26686252417078,0.283869472055318,0.331371899758829,0.512659918138613,0.672729964291764,0.863245930634009,1.19447794765046,1.31723801379871
"3",4,10,0.320366132723112,0.160183066361556,0.0872889887343739,0.109430535208797,0.203057682875294,0.294100975308424,0.409221880959538,0.62100223907928,0.702184341970209
"4",5,11,0.224839400428266,0.129811088361693,0.0463672897245097,0.0612830849052214,0.129454988490617,0.200411372548875,0.293820282891305,0.471847487720599,0.541464814497513
"5",6,12,0.180878552971576,0.127900451377412,0.0219052319096609,0.0321386379184837,0.0869373558372538,0.151788487469207,0.243519918633435,0.429031674789846,0.503895397113337
"6",7,13,0.193370165745856,0.136733355478062,0.0234180241686154,0.0343581571117491,0.0929413168757381,0.16227111781929,0.260337592572208,0.458660934098537,0.53869480299133
"7",8,14,0.198863636363636,0.140617825804143,0.0240833089461329,0.0353342411206056,0.0955816951960716,0.166881092757338,0.267733546906646,0.47169107427179,0.553998632621766
"8",9,15,0.204678362573099,0.144729458137597,0.0247874992661952,0.0363674060656526,0.0983764816053135,0.17176065687305,0.275562013190466,0.485483210946404,0.570197423049303
"9",10,16,0.289256198347107,0.204535019351481,0.0350302675580115,0.05139525981179,0.139027920285195,0.242736134919765,0.389430613682394,0.686096108031695,0.805816192904386
"10",11,17,0.216049382716049,0.216049382716049,0.00546989678672929,0.0110818845899029,0.0621535341716811,0.149754020491346,0.299508040982692,0.647226108483887,0.796980128975233
"11",12,18,0.402298850574713,0.402298850574713,0.0101853250511511,0.0206352333743019,0.115734167078303,0.278852314018369,0.557704628036738,1.20517965028034,1.48403196429871
"12",13,19,0.673076923076923,0.673076923076923,0.0170408322971182,0.0345243327608513,0.193632164150237,0.466541371530732,0.933082743061465,2.01635826104595,2.48289963257669
"13",14,20,1.09375,1.09375,0.0276913524828171,0.0561020407363834,0.314652266744135,0.75812972873744,1.51625945747488,3.27658217419968,4.03471190293712
"14",15,21,1.2962962962963,1.2962962962963,0.0328193807203758,0.0664913075394174,0.372921205030086,0.898524122948077,1.79704824589615,3.88335665090332,4.7818807738514
"15",16,22,1.2962962962963,1.2962962962963,0.0328193807203758,0.0664913075394174,0.372921205030086,0.898524122948077,1.79704824589615,3.88335665090332,4.7818807738514
"16",17,23,1.2962962962963,1.2962962962963,0.0328193807203758,0.0664913075394174,0.372921205030086,0.898524122948077,1.79704824589615,3.88335665090332,4.7818807738514
"17",18,24,2.05882352941176,2.05882352941176,0.052124898791185,0.105603841386133,0.592286619753667,1.42706772468224,2.85413544936448,6.16768409261116,7.5947518172934
"18",19,25,2.91666666666667,2.91666666666667,0.0738436066208455,0.149605441963689,0.839072711317694,2.02167927663317,4.04335855326635,8.73755246453247,10.7592317411656
"19",20,26,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"20",21,27,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"21",22,28,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"22",23,29,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"23",24,30,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"24",25,31,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"25",26,32,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"26",27,33,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"27",28,34,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"28",29,35,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"29",30,36,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"30",31,37,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"31",32,38,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"32",33,39,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"33",34,40,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"34",35,41,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"35",36,42,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"36",37,43,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"37",38,44,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"38",39,45,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"39",40,46,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"40",41,47,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"41",42,48,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"42",43,49,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"43",44,50,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"44",45,51,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"45",46,52,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"46",47,53,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"47",48,54,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"48",49,55,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"49",50,56,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"50",51,57,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"51",52,58,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"52",53,59,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"53",54,60,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
