id,kw_or_chr
0.0.0.0,X
0.0.0.1,X
0.0.0.2,X
0.0.0.3,X
0.0.0.4,X
0.0.0.5,X
0.0.1.0,X
0.0.1.1,X
0.0.1.2,X
0.0.1.3,X
0.0.2.0,X
0.0.2.1,X
0.0.3.0,X
0.0.3.1,X
0.0.3.2,X
0.0.3.3,X
0.0.3.4,X
0.0.4.0,X
0.0.4.1,X
0.0.4.2,X
0.0.4.3,X
0.1.0.0,X
0.1.0.1,X
0.1.0.2,X
0.1.0.3,X
0.1.1.0,X
0.1.1.1,X
0.1.1.2,X
0.1.1.3,X
0.1.1.4,X
0.1.1.5,X
0.1.2.0,X
0.1.2.1,X
0.1.2.2,X
0.1.2.3,X
0.1.2.4,X
0.1.3.0,X
0.1.3.1,X
0.1.3.2,X
0.1.3.3,X
0.1.3.4,X
0.1.3.5,X
0.1.3.6,X
0.1.4.0,X
0.1.4.1,X
0.1.4.2,X
1.0.0.0,X
1.0.0.1,X
1.0.0.2,X
1.0.0.3,X
1.0.1.0,X
1.0.1.1,X
1.0.1.2,X
1.0.1.3,X
1.0.1.4,X
1.0.2.0,X
1.0.2.1,X
1.0.2.2,X
1.0.2.3,X
1.0.2.4,X
1.0.2.5,X
1.0.3.0,X
1.0.3.1,X
1.0.3.2,X
1.0.3.3,X
1.0.3.4,X
1.0.3.5,X
1.0.4.0,X
1.0.4.1,X
1.0.4.2,X
1.0.4.3,X
1.0.4.4,X
1.1.0.0,X
1.1.0.1,X
1.1.0.2,X
1.1.0.3,X
1.1.0.4,X
1.1.1.0,X
1.1.1.1,X
1.1.1.2,X
1.1.1.3,X
1.1.1.4,X
1.1.1.5,X
1.1.2.0,X
1.1.2.1,X
1.1.2.2,X
1.1.2.3,X
1.1.2.4,X
1.1.2.5,X
1.1.3.0,X
1.1.3.1,X
1.1.3.2,X
1.1.4.0,X
1.1.4.1,X
1.1.4.2,X
1.1.4.3,X
1.1.4.4,X
1.1.4.5,X
1.1.4.6,X
1.1.4.7,X
