"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,2.19226253883644,0.531701765100433,1.27707371627527,1.39687620696954,1.8141668668526,2.14943007256878,2.52373127928418,3.13379850817899,3.35067954587118
"2",3,9,0.706045780274351,0.266860221261784,0.283867022383664,0.331369040161621,0.512655494103649,0.672724158921034,0.863238481192295,1.19446763981867,1.31722664660026
"3",4,10,0.341827568585027,0.170913784292513,0.0931365076879246,0.116761323868497,0.216660585904571,0.313802899369054,0.436635793525308,0.662603389646666,0.74922390913775
"4",5,11,0.233884741608101,0.135033418526783,0.0482326565345244,0.0637485176116985,0.134662992675377,0.208473968506571,0.305640740957131,0.490830021489821,0.563248069454951
"5",6,12,0.154837110664019,0.109486370929859,0.018751492432882,0.0275115747788908,0.0744208131116868,0.129935199312916,0.208459875263726,0.367263137704576,0.431348582151627
"6",7,13,0.166817904027329,0.117958071161051,0.0202024220913379,0.0296403311933681,0.0801792542243955,0.139989163552578,0.224589824210497,0.395680767973766,0.464724936232075
"7",8,14,0.192538971401575,0.136145612320736,0.0233173626773863,0.0342104698728151,0.0925418121401487,0.161573601556369,0.259218541276393,0.456689397419675,0.536379243753879
"8",9,15,0.234766468322003,0.166004961745705,0.0284313084592935,0.0417134834221483,0.1128380101447,0.197009797732538,0.316070149414657,0.556850159590308,0.654017520820178
"9",10,16,0.297873238807935,0.210628187095091,0.0360738311346121,0.0529263420697456,0.143169609283142,0.249967326879906,0.401031884023226,0.706535144279523,0.829821731170898
"10",11,17,0.193528492874814,0.193528492874814,0.00489971722209356,0.00992671395740682,0.0556746779086963,0.134143729194193,0.268287458388386,0.579759551957344,0.713903281151537
"11",12,18,0.25343115548601,0.25343115548601,0.00641632133183151,0.012999318865321,0.0729076000340648,0.175665090891177,0.351330181782354,0.759211891613519,0.934876982504696
"12",13,19,0.331693447406789,0.331693447406789,0.00839775101109223,0.0170136496442579,0.0954222583686608,0.229912377880224,0.459824755760448,0.9936647653229,1.22357714320312
"13",14,20,0.436596057016534,0.436596057016534,0.0110536551382427,0.0223944500809929,0.125600858506792,0.3026253259646,0.605250651929199,1.30792489851085,1.61055022447545
"14",15,21,0.581680456735185,0.581680456735185,0.0147268741118355,0.0298363069068027,0.167339039298277,0.403190168572815,0.80638033714563,1.74255891713722,2.14574908571004
"15",16,22,0.78422347804469,0.78422347804469,0.0198548194339074,0.040225405724975,0.22560703542924,0.543582292735591,1.08716458547118,2.34932358285724,2.89290587559283
"16",17,23,1.0632438183563,1.0632438183563,0.026919002833628,0.0545372781806929,0.305876185186285,0.736984454941459,1.47396890988292,3.18519382130674,3.9221782762482
"17",18,24,1.43453020519194,1.43453020519194,0.0363191602827136,0.0735817801227437,0.412688622424297,0.994340567156876,1.98868113431375,4.29746843308154,5.29180900023841
"18",19,25,1.90126489206275,1.90126489206275,0.0481358594645162,0.0975221398172889,0.546959824428422,1.3178563994309,2.6357127988618,5.69568059772751,7.01353699715841
"19",20,26,2.44305457887473,2.44305457887473,0.0618527867230905,0.125312317719075,0.702823004363494,1.69339639330108,3.38679278660216,7.31873744798887,9.01213384128995
"20",21,27,3.01252119401003,3.01252119401003,0.0762704331385495,0.154522136453091,0.866648340397718,2.08812057200513,4.17624114401026,9.02470696566124,11.1128275376664
"21",22,28,3.54839100024,3.54839100024,0.0898374819972586,0.182008664177445,1.02080847681829,2.45955721734064,4.91911443468128,10.6300294386075,13.0895866559481
"22",23,29,4.0000063332917,4.0000063332917,0.101271392282223,0.205173502405598,1.15073011178161,2.77259311214307,5.54518622428614,11.9829480670623,14.7555411792054
"23",24,30,4.3447651754189,4.3447651754189,0.109999930448085,0.222857319187539,1.24991104998084,3.01156173153665,6.02312346307329,13.0157532570159,16.0273149885525
"24",25,31,4.58744829174178,4.58744829174178,0.116144134988177,0.235305335715977,1.31972663183366,3.17977684938535,6.35955369877071,13.742766900831,16.9225437502163
"25",26,32,4.74800020512186,4.74800020512186,0.120208957502644,0.243540572273466,1.36591453901094,3.29106295547826,6.58212591095651,14.2237374493245,17.5148004048028
"26",27,33,4.84950340516172,4.84950340516172,0.122778796031044,0.248747005794389,1.39511518995889,3.3614196124037,6.7228392248074,14.5278138615529,17.8892334739566
"27",28,34,4.91162211902768,4.91162211902768,0.124351505700934,0.251933279271691,1.41298563030189,3.4044770237799,6.80895404755979,14.7139048974728,18.1183819212527
"28",29,35,4.94876175904369,4.94876175904369,0.125291799975465,0.25383829376048,1.42367003891181,3.43022026054401,6.86044052108802,14.825165315697,18.255385576241
"29",30,36,4.97059156916397,4.97059156916397,0.125844482916424,0.254958016637404,1.42995008392844,3.44535153188104,6.89070306376208,14.8905615823999,18.3359131142809
"30",31,37,4.98325862871805,4.98325862871805,0.126165185097939,0.255607751852136,1.43359416987283,3.45413166849694,6.90826333699388,14.9285087015171,18.382640370014
"31",32,38,4.99053510658699,4.99053510658699,0.126349409567427,0.255980986373573,1.43568748210632,3.4591753386162,6.9183506772324,14.9503070811069,18.4094824197231
"32",33,39,4.99468078675527,4.99468078675527,0.126454369101892,0.25619363196688,1.43688011996885,3.46204890513634,6.92409781027268,14.9627264289828,18.4247753341191
"33",34,40,4.99702640069004,4.99702640069004,0.126513754905098,0.256313946232956,1.43755491104677,3.46367476082191,6.92734952164383,14.9697532603485,18.4334280211704
"34",35,41,4.99834556872916,4.99834556872916,0.126547153348211,0.256381610707533,1.43793441204218,3.46458913842891,6.92917827685782,14.9737051346175,18.4382942730464
"35",36,42,4.99908350845095,4.99908350845095,0.126565836364391,0.256419462066924,1.43814670407069,3.4651006392665,6.93020127853299,14.975915804458,18.4410164437245
"36",37,43,4.99949432381949,4.99949432381949,0.126576237309009,0.256440534140561,1.43826488828731,3.46538539478093,6.93077078956186,14.977146497316,18.442531892097
"37",38,44,4.9997220227371,4.9997220227371,0.126582002146483,0.256452213568174,1.43833039318382,3.46554322364369,6.93108644728738,14.9778286223122,18.4433718459559
"38",39,45,4.99984771730219,4.99984771730219,0.126585184457347,0.256458660856504,1.4383665532568,3.46563034847709,6.93126069695418,14.9782051695774,18.4438355180545
"39",40,46,4.99991684368968,4.99991684368968,0.126586934585952,0.256462206576647,1.43838643967921,3.46567826323768,6.93135652647536,14.9784122537274,18.4440905169651
"40",41,47,4.9999547278009,4.9999547278009,0.126587893728606,0.256464149777517,1.43839733825884,3.46570452250256,6.93140904500513,14.978525744382,18.4442302668846
"41",42,48,4.99997542239034,4.99997542239034,0.126588417670247,0.256465211271185,1.43840329172122,3.46571886689888,6.93143773379776,14.9785877398315,18.4443066067304
"42",43,49,4.99998669264975,4.99998669264975,0.126588703008511,0.256465789359919,1.43840653397281,3.46572667884742,6.93145335769484,14.9786215025113,18.4443481813588
"43",44,50,4.99999281289803,4.99999281289803,0.126588857959782,0.256466103287615,1.43840829465851,3.46573092108026,6.93146184216051,14.9786398371366,18.4443707582169
"44",45,51,4.99999612753861,4.99999612753861,0.126588941879215,0.256466273306451,1.43840924822119,3.46573321861403,6.93146643722806,14.9786497669124,18.4443829855264
"45",46,52,4.9999979181632,4.9999979181632,0.126588987213905,0.256466365153485,1.43840976335178,3.46573445978042,6.93146891956084,14.9786551311443,18.4443895909247
"46",47,53,4.99999888317823,4.99999888317823,0.12658901164597,0.256466414652285,1.4384100409693,3.46573512867787,6.93147025735574,14.9786580220709,18.4443931507488
"47",48,54,4.99999940207779,4.99999940207779,0.12658902478337,0.256466441268353,1.4384101902474,3.46573548835163,6.93147097670327,14.9786595765551,18.4443950649067
"48",49,55,4.99999968050283,4.99999968050283,0.126589031832481,0.25646645554969,1.4384102703453,3.46573568134116,6.93147136268232,14.978660410642,18.4443960919831
"49",50,56,4.99999982958756,4.99999982958756,0.12658903560698,0.256466463196737,1.4384103132343,3.46573578467882,6.93147156935765,14.9786608572599,18.4443966419387
"50",51,57,4.99999990927059,4.99999990927059,0.12658903762438,0.256466467283942,1.43841033615768,3.46573583991089,6.93147167982178,14.9786610959689,18.4443969358798
"51",52,58,4.99999995177732,4.99999995177732,0.126589038700557,0.256466469464252,1.4384103483861,3.46573586937431,6.93147173874862,14.9786612233077,18.444397092682
"52",53,59,4.99999997441146,4.99999997441146,0.126589039273604,0.256466470625232,1.43841035489754,3.4657358850631,6.9314717701262,14.9786612911135,18.4443971761766
"53",54,60,4.99999998644199,4.99999998644199,0.12658903957819,0.256466471242318,1.43841035835851,3.46573589340203,6.93147178680406,14.9786613271538,18.4443972205558
