time,0.0.0.0,0.0.0.1,0.0.0.2,0.0.0.3,0.0.0.4,0.0.0.5,0.0.1.0,0.0.1.1,0.0.1.2,0.0.1.3,0.0.2.0,0.0.2.1,0.0.3.0,0.0.3.1,0.0.3.2,0.0.3.3,0.0.3.4,0.0.4.0,0.0.4.1,0.0.4.2,0.0.4.3,0.1.0.0,0.1.0.1,0.1.0.2,0.1.0.3,0.1.1.0,0.1.1.1,0.1.1.2,0.1.1.3,0.1.1.4,0.1.1.5,0.1.2.0,0.1.2.1,0.1.2.2,0.1.2.3,0.1.2.4,0.1.3.0,0.1.3.1,0.1.3.2,0.1.3.3,0.1.3.4,0.1.3.5,0.1.3.6,0.1.4.0,0.1.4.1,0.1.4.2,1.0.0.0,1.0.0.1,1.0.0.2,1.0.0.3,1.0.1.0,1.0.1.1,1.0.1.2,1.0.1.3,1.0.1.4,1.0.2.0,1.0.2.1,1.0.2.2,1.0.2.3,1.0.2.4,1.0.2.5,1.0.3.0,1.0.3.1,1.0.3.2,1.0.3.3,1.0.3.4,1.0.3.5,1.0.4.0,1.0.4.1,1.0.4.2,1.0.4.3,1.0.4.4,1.1.0.0,1.1.0.1,1.1.0.2,1.1.0.3,1.1.0.4,1.1.1.0,1.1.1.1,1.1.1.2,1.1.1.3,1.1.1.4,1.1.1.5,1.1.2.0,1.1.2.1,1.1.2.2,1.1.2.3,1.1.2.4,1.1.2.5,1.1.3.0,1.1.3.1,1.1.3.2,1.1.4.0,1.1.4.1,1.1.4.2,1.1.4.3,1.1.4.4,1.1.4.5,1.1.4.6,1.1.4.7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,0,0,8.896859617415851,0,5.404344235527867,2.513868187479539,0,0,0,0,0,3.5294334652196104,0,0,0.0007986929764480578,0,0,0,0,0,0,0,2.9605089694302,0,0,0,0.676512927796119,0,1.43924073413225,1.1082246310121342,0,0,0,0,3.767916357892788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,6.5313835682795665,0,3.9674499379709873,1.8454868435131733,0,0,0,0,0,2.5910360207264906,0,0,0.0005863383718297141,0,0,0,0,0,0,0,2.173375827896564,0,0,0,0.4966432663146451,0,1.056578802627028,0.8135724802025965,0,0,0,0,2.766111644429969,1.4139873664791713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,0,0,0,0,3.9276266118680243,0,0,1.1097776087806703,0,0,0,0,0,1.5581112211412538,0,0,0.00035259270393215724,0,0,0,0,0,0,0,1.3069526004711078,0,0,0,0.2986548392067983,0,0.6353702824754909,0.4892392079751784,0,0,0,0,1.6633923873074454,3.7939865751606243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,0,0,0,0,2.1674451780563313,0,0,0.6124263746452524,0,3.0080634591949673,0,0,0,0.8598375015928195,0,0,0.00019457688611395865,0,0,0,0,0,0.3968218761451328,0,0.7212366122786805,0,0,0,0.16481148925561745,0,0.35062657200420916,0.26998471775237337,0,0,0,0,0.9179364958448543,2.7852503738251486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,5.477268059269248,0,0,0,1.1399062777519982,0,0,0.32208827064546713,0.0722677220127423,8.07118412226991,0,0,0,0.45220713115853267,0,1.9259167073392567,0.00010233219102023007,0,0,0,0,0,1.064745631054309,1.4055339217402447,0.3793139270162821,0,0,0,0.08667792530586978,0,0,0.14199079994217653,0,0,0,0,0.48276264829431625,1.6749014009955894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0,14.696511424403678,0,2.1287837217287366,0,0.581305705687731,0,0,0.1642518802778617,0.19390750839344437,5.925236726176907,0,0,0,0.23060719168381155,0,5.167586575201785,0,0,0,0,0,0,0.7816535741951474,3.771304437672218,0.19343463083318196,0,0,0,0.04420220637510981,0,0,0.0724095162668365,0,0,0,0,0,0.9242876994310546,0,0.2624486140658771,0,0.5745406400473507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.0,10.789037633063561,0,5.711915858039081,0,0.2901524793554824,0,0,0,0.14235183745147514,0,0,0,0,0,0,3.793640845907643,0,0,0,0,0,0,0.47004487597094213,2.768598909549458,0.09655081169908558,0,0,0,0.022063055028072317,0,0,0.036142429823387806,0,0,0,0,0,0.48610288356877107,0,0.704197606032937,0,1.5415975608406898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0,6.487953261521302,0,4.193245142989893,0,0.14255782610081616,0,0,0,0.08560282200207682,0,0,0,0,0,0,2.2812937850748822,0,0,0,0,0,0,0,1.6648880962291386,0.04743738138879639,0,0,0,0,0,0,0.017757512315829595,0,0,0,0,0,0.24789264282941623,0,0.5169672076045696,0,1.131721237689853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,3.58035129145105,0,2.521594550606324,2.7987403762440652,0.06919838536915758,0,0,0,0.04723957802296567,0,0,0,5.985918377877475,0,0,1.2589229330633167,0,0,0,0,0,0,0,0.918761896884837,0.02302637665030193,0,0,0,0,0.9786035702817161,0,0,0,0,0,0,0,0.12373294159540921,2.0449734190093602,0.3108765762758061,0,0.6805569453851167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,1.8829841488043648,0,0,7.509532027340352,0.033268852820325705,0,0,0,0.024844315368116026,0,0,0,16.061313208351738,0,0,0.6620947875100242,0,0,0,0,0,0,0,0.48319674454582245,0,0,0,0,0,2.625772263650404,0,0,0,0,0,0,0,0.06079251574924548,5.487037495674911,0.1715560064145676,0,0.37556265282716295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.0,0,0,0,5.512915365420379,0.015870937065103435,0,0,0,0,0,0,0,11.790969137994527,0,0,0.33764133525494855,0,0,0,0,0,0,0,0.24641063046705483,0,5.440625414110062,0,0,0,1.927638127871438,0,0,0,0,0,0,0,0,4.028156909167274,0.09022501269139145,0,0.1975165185173375,5.855549478657048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0,0,0,0,3.3151740166294887,0,0,0,0,0,0,0,0,7.090461566369245,0,0,0,0,0,0,0,0,0,0,0.1229932110935971,0,14.598192509321368,0.2313002591680109,0,0,0,0,0,0,0,0,0,0,0,2.4223192693907083,0.046011076258555904,0,0,15.71150962086116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0,0,0,0,1.8294656409163443,0,0,0,0,0,0,0,0,3.9128431113545887,0,0,0,0,0,0,0,0,0,0,0.060429071078798254,0,10.71685951920835,0.6206208760547176,0,0,0,0,0,0,0,0,0,0,0,1.3367472876085718,0.022965932939604958,0,0,11.53417050322807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
