time,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead,InfectionStatus.Vaccinated
0,90,0,0,10,0,0,0,0,0,0,0
1.0,90,0,0,8,0,0,0,0,2,0,0
2.0,82,9,0,9,0,0,0,0,0,0,0
3.0,76,11,2,10,0,0,0,0,1,0,0
4.0,75,10,2,12,1,0,0,0,0,0,0
5.0,73,9,2,13,3,0,0,0,0,0,0
6.0,73,7,3,10,4,0,0,0,3,0,0
7.0,76,6,3,9,4,0,0,0,2,0,0
8.0,77,6,4,7,4,0,0,0,2,0,0
9.0,79,4,4,4,6,0,0,0,3,0,0
10.0,82,4,4,2,6,0,0,0,2,0,0
11.0,84,3,4,3,5,0,0,0,1,0,0
12.0,85,3,4,3,4,0,0,0,1,0,0
13.0,86,3,4,3,3,0,0,0,1,0,0
14.0,87,3,4,2,3,0,0,0,1,0,0
15.0,88,3,4,2,0,0,0,0,3,0,0
16.0,91,2,4,3,0,0,0,0,0,0,0
17.0,91,1,5,2,0,0,0,0,1,0,0
18.0,92,1,5,1,0,0,0,0,1,0,0
19.0,93,0,5,2,0,0,0,0,0,0,0
20.0,93,0,4,1,0,0,0,0,2,0,0
21.0,95,0,3,1,0,0,0,0,1,0,0
22.0,96,0,3,1,0,0,0,0,0,0,0
23.0,96,0,3,1,0,0,0,0,0,0,0
24.0,96,0,3,0,0,0,0,0,1,0,0
25.0,97,0,3,0,0,0,0,0,0,0,0
26.0,97,0,3,0,0,0,0,0,0,0,0
27.0,97,0,3,0,0,0,0,0,0,0,0
28.0,97,0,2,0,0,0,0,0,1,0,0
29.0,98,0,2,0,0,0,0,0,0,0,0
30.0,98,0,2,0,0,0,0,0,0,0,0
31.0,98,0,2,0,0,0,0,0,0,0,0
32.0,98,0,2,0,0,0,0,0,0,0,0
33.0,98,0,2,0,0,0,0,0,0,0,0
34.0,98,0,1,0,0,0,0,0,1,0,0
35.0,99,0,0,0,0,0,0,0,1,0,0
36.0,100,0,0,0,0,0,0,0,0,0,0
37.0,100,0,0,0,0,0,0,0,0,0,0
38.0,100,0,0,0,0,0,0,0,0,0,0
39.0,100,0,0,0,0,0,0,0,0,0,0
40.0,100,0,0,0,0,0,0,0,0,0,0
41.0,100,0,0,0,0,0,0,0,0,0,0
42.0,100,0,0,0,0,0,0,0,0,0,0
43.0,100,0,0,0,0,0,0,0,0,0,0
44.0,100,0,0,0,0,0,0,0,0,0,0
45.0,100,0,0,0,0,0,0,0,0,0,0
46.0,100,0,0,0,0,0,0,0,0,0,0
47.0,100,0,0,0,0,0,0,0,0,0,0
48.0,100,0,0,0,0,0,0,0,0,0,0
49.0,100,0,0,0,0,0,0,0,0,0,0
50.0,100,0,0,0,0,0,0,0,0,0,0
51.0,100,0,0,0,0,0,0,0,0,0,0
52.0,100,0,0,0,0,0,0,0,0,0,0
53.0,100,0,0,0,0,0,0,0,0,0,0
54.0,100,0,0,0,0,0,0,0,0,0,0
55.0,100,0,0,0,0,0,0,0,0,0,0
56.0,100,0,0,0,0,0,0,0,0,0,0
57.0,100,0,0,0,0,0,0,0,0,0,0
58.0,100,0,0,0,0,0,0,0,0,0,0
59.0,100,0,0,0,0,0,0,0,0,0,0
60.0,100,0,0,0,0,0,0,0,0,0,0
